"","rider_id","avg_assign","avg_pickup","avg_deliver","avg_waiting","avg_ODdist","daily_delivered_stores","daily_franchise_share","num_working_days","share_weekdays","tenure","avg_order_level","Treat","avg_orders_shift","avg_duration_shift","median_idle_shift","prof","prof30","prof50","prof70","prof90","prof_low","prof_med","prof_high","avg_total_shift","avg_share_aggshift","avg_orders_aggshift","avg_duration_aggshift","avg_working_duration","avg_idle_duration","daily_total_order","avg_share_workingd","avg_share_idled","avg_orders_per_workingd","avg_daily_profit","distance","weights","subclass"
"223",41514,30.7368421052632,626.780701754386,570.377192982456,1227.89473684211,0.965727894406496,12,0.340720390720391,2.33333333333333,1,291,4721.93675367838,1,3.5625,2270.09375,14.2416666666667,5.55719964538836,1,1,0,0,1,1,0,4.57142857142857,0.893877551020408,3.95238095238095,2552.28571428571,10377.5714285714,151.140476190476,16.2857142857143,0.985059957454129,0.0149400425458709,5.55719964538836,46114.2857142857,0.532780369316147,1,"48"
"224",41822,72.0240137221269,168.739279588336,460.030874785592,700.794168096055,1.10041248813643,15.4615384615385,0.190750077930061,5.66666666666667,0.80952380952381,285,4531.25812459361,1,1.782874617737,745.403669724771,172,6.38155986105894,1,1,1,0,1,1,1,12.5769230769231,0.488476397183828,2.60811827061827,978.996996059496,9374.88461538462,3484.58397435897,22.4230769230769,0.738704135667457,0.261295864332543,6.38155986105894,67603.8461538462,0.416799102124424,1,"49"
"225",41995,172.927385892116,319.985477178423,638.827800829876,1131.74066390042,1.59514005856801,12.4827586206897,0.121314965949321,6.66666666666667,0.698412698412698,281,2825.48600212379,0,1.76556776556777,997.076923076923,33.6,5.57459505996075,1,1,0,0,1,1,0,9.41379310344828,0.475254554882504,2.4374716553288,1223.22991780045,9386.27586206897,1889.43218390805,16.6206896551724,0.876901718864168,0.123098281135832,5.57459505996075,50410.3448275862,0.532363058275178,1,"113"
"226",42056,59.6435406698565,173.178229665072,469.857655502392,702.679425837321,1.07090593047543,22.4230769230769,0.234008060533256,5.66666666666667,0.644444444444444,280,4929.2320587503,0,1.39799331103679,685.867892976589,278,4.95287247201074,1,0,0,0,1,0,0,23,0.384200005189222,2.11312480254788,886.459264880419,15774.9615384615,8721.23076923077,32.1538461538462,0.659835022668663,0.340164977331337,4.95287247201074,96200,0.668137651341602,1,"116"
"227",42095,260.396130346232,744.9633401222,518.706720977597,1524.06619144603,1.11456989155739,18.7692307692308,0.32926815094786,5.66666666666667,0.644444444444444,279,4029.31219619071,1,3.53237410071942,2153.89208633094,169,5.31471492878125,1,1,0,0,1,1,0,10.6923076923077,0.777188497776733,4.42663863913864,2600.15687090687,23030.0769230769,2671.20641025641,37.7692307692308,0.905777135167189,0.0942228648328106,5.31471492878125,113000,0.814416573825333,1,"50"
"228",42291,44.6196769456681,316.640234948605,547.468428781204,908.728340675477,1.34960452336276,19.6818181818182,0.131740657880855,4.66666666666667,0.716666666666667,272,3699.95049957133,0,2.19677419354839,1014.30322580645,233.5,6.07850524995046,1,1,1,0,1,1,1,14.0909090909091,0.590147836130946,2.99429396361215,1304.86844329913,14292.4545454545,4270.1408459596,30.9545454545455,0.784885841432836,0.215114158567164,6.07850524995046,90609.0909090909,0.388681097438565,1,"49"
"229",42328,102.420967741935,765.464516129032,482.335483870968,1350.22096774194,1.15465017255653,13.95,0.281695978313625,4,0.805555555555556,272,3460.50412483446,0,3.42541436464088,2173.33149171271,87,5.13736947131315,1,0,0,0,1,0,0,9.05,0.768634004884005,4.00720238095238,2535.68738095238,19668.65,1877.9925,31,0.929229862846513,0.0707701371534869,5.13736947131315,88592.5,0.758188172981084,1,"11"
"230",42480,44.7568862275449,181.871856287425,500.57125748503,727.2,1.11021073298631,19.5714285714286,0.202734405470706,6.33333333333333,0.682539682539683,270,4468.78305034746,0,1.76160337552743,815.301687763713,166.5,6.01643406611734,1,1,1,0,1,1,1,16.9285714285714,0.514903833627259,2.49584077558149,1110.07723218842,13801.8928571429,4289.17261904762,29.8214285714286,0.781099655057053,0.218900344942947,6.01643406611734,89714.2857142857,0.473154217590855,1,"88"
"236",42855,75.14,328.7016,620.8776,1024.7192,1.04093075827624,27.1153846153846,0.261756712285925,5.66666666666667,0.644444444444444,264,4412.59434307918,0,2.34082397003745,1267.60112359551,300,5.19114113156063,1,1,0,0,1,1,0,20.5384615384615,0.603020260916477,3.29798631087628,1724.74832000116,26034.5769230769,7435.28717948718,48.0769230769231,0.780975745098944,0.219024254901056,5.19114113156063,137369.230769231,0.809523931989329,1,"84"
"237",42856,134.9248434238,428.511482254697,627.536534446764,1190.97286012526,1.23736147050238,13.3333333333333,0.151401889102904,6,0.666666666666667,264,3867.78835436547,0,1.97119341563786,1243.51440329218,115,5.01538637415379,1,0,0,0,1,0,0,9,0.515519857199237,2.65424616535728,1602.679337021,11191.6296296296,1681.44913580247,17.7407407407407,0.910037416129925,0.0899625838700748,5.01538637415379,50940.7407407407,0.616559364515387,1,"92"
