"","rider_id","avg_assign","avg_pickup","avg_deliver","avg_waiting","avg_ODdist","daily_delivered_stores","daily_franchise_share","num_working_days","share_weekdays","tenure","avg_order_level","Treat","avg_orders_shift","avg_duration_shift","median_idle_shift","prof","prof30","prof50","prof70","prof90","prof_low","prof_med","prof_high","avg_total_shift","avg_share_aggshift","avg_orders_aggshift","avg_duration_aggshift","avg_working_duration","avg_idle_duration","daily_total_order","avg_share_workingd","avg_share_idled","avg_orders_per_workingd","avg_daily_profit","distance","weights","subclass"
"50",19437,557.428044280443,671.959409594096,684.785977859779,1914.17343173432,1.33018697857626,7.47826086956522,0.211407553798858,5,0.588888888888889,728,3136.16607284109,1,2.65686274509804,1677.78431372549,24.325,5.10180665150002,1,0,0,0,1,0,0,4.43478260869565,0.656564088085827,3.35394736842105,2003.14078947368,7440.60869565217,718.985108695652,11.7826086956522,0.956689471850289,0.0433105281497112,5.10180665150002,36356.5217391304,0.620523980479503,1,"111"
"51",19529,29.1635565312843,454.454445664105,535.760702524698,1019.37870472009,0.937481004961564,12.36,0.279202548913075,6,0.722222222222222,727,4924.12492547975,1,2.91987179487179,1500.26282051282,94.5,6.12467409613068,1,1,1,0,1,1,1,12.48,0.708019620901974,3.88555555555556,1932.70922222222,18723.28,2793.53866666667,36.44,0.878530439741055,0.121469560258945,6.12467409613068,104604,0.674172742124604,1,"115"
"54",19751,42.4949748743719,324.238693467337,448.005862646566,814.739530988275,1.63979366167535,25.1333333333333,0.216786270411734,7,0.714285714285714,725,3190.98837815992,0,2.62995594713656,1156.9140969163,177,6.86431800502285,1,1,1,1,1,1,1,15.1333333333333,0.594038937212312,3.71875661375661,1578.64649165649,17507.9666666667,3500.73,39.8,0.852170337328288,0.147829662671712,6.86431800502285,125883.333333333,0.363869755245121,1,"92"
"55",19832,476.097222222222,399.90625,525.149305555556,1401.15277777778,1.18644048554453,6.55172413793103,0.181112852664577,7,0.714285714285714,721,3492.00419696893,0,1.41871921182266,1045.55172413793,25.675,4.74333298527954,1,0,0,0,1,0,0,7,0.321508289434253,2.25384615384615,1416.29679487179,7318.86206896552,797.100143678161,9.93103448275862,0.922019965390961,0.0779800346090387,4.74333298527954,28679.3103448276,0.722081056567417,1,"27"
"56",19907,50.4480968858132,378.602076124567,566.726643598616,995.776816608997,0.988223072301487,15.9166666666667,0.2070957937831,5.33333333333333,0.754761904761905,720,4523.19146804143,0,2.77884615384615,1178.16826923077,39,7.51356852648794,1,1,1,1,1,1,1,8.66666666666667,0.671117424242424,3.70147156084656,1521.50763888889,10210.7916666667,1524.27430555556,24.0833333333333,0.893855621609249,0.106144378390751,7.51356852648794,67829.1666666667,0.392472645707388,1,"16"
"57",20324,101.62380952381,711.211904761905,603.290476190476,1416.12619047619,1.04347195908615,12.1176470588235,0.435940774911363,4.33333333333333,0.722222222222222,709,3985.99005579954,0,5.49019607843137,3102.69934640523,151,6.02453368352186,1,1,1,0,1,1,1,9,0.883318968613086,6.46424751718869,3596.40534759358,27924.2941176471,1906.33333333333,49.4117647058824,0.938715377015612,0.0612846229843884,6.02453368352186,146623.529411765,0.831133389426218,1,"106"
"58",20335,107.3125,710.611979166667,635.041666666667,1452.96614583333,2.08567307051067,7.73076923076923,0.20349394195548,5.66666666666667,0.7,708,2585.91648527805,0,2.49350649350649,1849.3961038961,23.05,4.46193453846771,0,0,0,0,0,0,0,5.92307692307692,0.658068000375693,3.24059829059829,2249.40726495726,10954.1153846154,529.92077991453,14.7692307692308,0.947597873586541,0.0524021264134592,4.46193453846771,51253.8461538462,0.569684873873763,1,"84"
"60",20341,202.744537815126,774.596638655462,584.028571428571,1561.36974789916,1.197922837067,20.3636363636364,0.239805928590514,3.66666666666667,0.733333333333333,708,3954.84287380948,0,5.83333333333333,2736.90196078431,96.8833333333333,7.165817417567,1,1,1,1,1,1,1,9.27272727272727,0.89422471467926,6.43642796597342,3013.60088623498,25378.5454545455,1863.56060606061,54.0909090909091,0.939816576378737,0.0601834236212632,7.165817417567,164636.363636364,0.613012912290643,1,"111"
"65",20899,126.974522292994,309.036942675159,452.974522292994,888.985987261147,1.3202899449659,20.6071428571429,0.119814958924589,6.33333333333333,0.676190476190476,694,3748.98588553292,0,1.74057649667406,888.232815964523,212,5.48112884146067,1,1,0,0,1,1,0,16.1071428571429,0.458999726684932,2.50467717389986,1157.93918961524,14306.8928571429,4599.30238095238,28.0357142857143,0.781725827591082,0.218274172408918,5.48112884146067,81632.1428571429,0.510379065230178,1,"32"
"67",20991,95.9317073170732,453.853658536585,630.336585365854,1180.12195121951,1.35818079645096,8.28571428571429,0.0822047000618429,3.33333333333333,1,692,3336.10149467806,1,1.89814814814815,1252.60185185185,19.3833333333333,5.1055700854427,1,0,0,0,1,0,0,7.71428571428571,0.516692830978545,2.56105442176871,1536.74841269841,9662.92857142857,1228.90833333333,14.6428571428571,0.918117488380755,0.081882511619245,5.1055700854427,42900,0.494537407409368,1,"120"
"72",21578,33.8732283464567,435.837007874016,360.226771653543,829.937007874016,0.710664980589496,23.1538461538462,0.405472522002648,6,0.666666666666667,678,6034.02112377995,1,3.06763285024155,1347.65458937198,172,6.84472616663498,1,1,1,1,1,1,1,15.9230769230769,0.679416121808203,4.01904206904207,1736.97420229343,21458.8076923077,3861.94166666667,48.8461538461538,0.850156712008604,0.149843287991396,6.84472616663498,135792.307692308,0.607692814257061,1,"121"
"74",21621,44.6964102564103,174.188717948718,445.310769230769,664.195897435897,1.01916568007802,23.24,0.21642225125896,5.66666666666667,0.644444444444444,677,4844.67902114333,0,1.92307692307692,729.41617357002,215,6.78021896307211,1,1,1,1,1,1,1,20.28,0.531818886146586,2.72147270703153,940.471835128923,14792.56,5993.67933333333,39,0.719448315572255,0.280551684427745,6.78021896307211,117844,0.376708691422828,1,"6"
"78",22134,34.3886583679115,580.464730290456,499.991701244813,1114.84508990318,1.32525467614516,16.15,0.321235171562184,5,0.672222222222222,663,4375.83800978812,1,2.32475884244373,1342.04501607717,258,5.05966061204483,1,0,0,0,1,0,0,15.55,0.625906118520283,3.11575410700411,1685.57267121767,20868.8,5220.7825,36.15,0.813256380527078,0.186743619472922,5.05966061204483,112895.8,0.663279777246473,1,"122"
"79",22327,19.7296858071506,391.224268689057,460.027627302275,870.981581798483,0.894750194994753,38.4166666666667,0.23304503304644,5,0.588888888888889,659,5657.02031572876,0,3.5705996131528,1340.30367504836,214,7.96642551942736,1,1,1,1,1,1,1,21.5416666666667,0.742104833243663,4.5426613073817,1642.95694012676,28872.375,5802.74791666667,76.9166666666667,0.832781348383948,0.167218651616052,7.96642551942736,218604.166666667,0.475692808437701,1,"67"
"80",22329,35.9796178343949,351.854777070064,551.136942675159,938.971337579618,0.891036624922228,38.0434782608696,0.245435635424048,5.33333333333333,0.611111111111111,659,4913.34840138499,0,3.3982683982684,1297.94805194805,248,7.68394296453295,1,1,1,1,1,1,1,20.0869565217391,0.808821270585025,4.09034226568215,1522.93116884387,26071.8260869565,6092.09057971014,68.2608695652174,0.813758144633372,0.186241855366628,7.68394296453295,190734.782608696,0.502793461659587,1,"54"
"81",22623,19.928821470245,331.668611435239,526.606767794632,878.204200700117,0.918960778692933,18.9473684210526,0.335135974713892,4,0.861111111111111,651,4741.29696149435,0,3.04982206405694,1272.08185053381,200,7.07119529016427,1,1,1,1,1,1,1,14.7894736842105,0.684724374066479,4.06364819391135,1685.08161137109,18813.4210526316,3783.29122807018,45.1052631578947,0.841397205534959,0.158602794465041,7.07119529016427,128805.263157895,0.393575379995814,1,"57"
"82",22773,147.240506329114,639.105485232068,466.700421940928,1253.04641350211,1.09010021647934,13.8095238095238,0.408740281987739,4.33333333333333,0.688888888888889,647,3848.38267690906,1,2.41836734693878,1590,149,4.73823450916182,1,0,0,0,1,0,0,9.33333333333333,0.625127121555693,3.48586545729403,2144.92239229025,14840,2376.13015873016,22.5714285714286,0.864832360847625,0.135167639152375,4.73823450916182,64542.8571428571,0.703687998485736,1,"123"
"83",22925,85.8655756867329,428.79251899474,689.651665692577,1204.30976037405,1.16486532583185,33.3076923076923,0.304639408816507,6,0.66031746031746,642,3981.66911755212,1,3.59453781512605,1685.10084033613,202,6.57558721005895,1,1,1,0,1,1,1,18.3076923076923,0.861432243908856,4.08819575891944,1893.32168897544,30850.3076923077,5129.12564102564,65.8076923076923,0.857784519617053,0.142215480382946,6.57558721005895,198326.923076923,0.710173104357164,1,"124"
"84",22985,47.1497821350763,381.979302832244,427.320261437908,856.449346405229,0.863029021322686,28.6296296296296,0.402016781122257,6.66666666666667,0.698412698412698,641,5143.63298895421,1,2.99510603588907,1231.48287112561,168,7.31896160702252,1,1,1,1,1,1,1,22.7037037037037,0.672200758876243,4.02086435761616,1587.68527147406,27959.2222222222,5467.42469135802,68,0.840718784005561,0.159281215994439,7.31896160702252,195270.37037037,0.579691311912296,1,"125"
"88",24074,17.056206088993,693.620608899297,514.52224824356,1225.19906323185,0.905169284819819,14.6875,0.293296924836542,3.33333333333333,0.311111111111111,616,5427.56668639002,0,3.13970588235294,1952.56617647059,14.7583333333333,5.48825750734611,1,1,0,0,1,1,0,8.5,0.731210456210456,3.88256448412698,2366.9806547619,16596.8125,778.084375,26.6875,0.953077110132792,0.0469228898672082,5.48825750734611,74135,0.65532615216929,1,"122"
"90",24758,26.0517647058824,251.361176470588,390.858823529412,668.271764705882,0.926278796294674,20.85,0.160756115493625,5,0.66031746031746,605,4591.00482924007,1,1.92307692307692,760.18778280543,201.5,6.67538495658152,1,1,1,1,1,1,1,22.1,0.44315619694807,2.7980927698033,1003.90664312296,16800.15,5879.8875,42.5,0.770081782585157,0.229918217414843,6.67538495658152,118695,0.352916287069243,1,"126"
"91",24808,120.9890625,751.4640625,499.4609375,1371.9140625,1.04378504112446,13.9090909090909,0.463386613386613,3.5,0.9,605,3881.0880646357,1,4.70588235294118,2467.46323529412,93.525,6.39582327929162,1,1,1,0,1,1,1,12.3636363636364,0.797735597735598,5.94166666666667,3046.9845959596,30506.8181818182,2444.88181818182,58.1818181818182,0.929649863844446,0.070350136155554,6.39582327929162,171081.818181818,0.776680191005219,1,"127"
